selected_function,protocol,seed,exp_id,overwrite_plate,passage_overwrite_plate,output_dir,save_function,save_composition,save_plate,function_lograte,composition_lograte,n_wells,n_propagation,n_transfer,n_transfer_selection,dilution,n_inoc,n_migration,rich_medium,monoculture,directed_selection,knock_out,knock_in,knock_in_threshold,bottleneck,bottleneck_size,migration,n_migration_ds,s_migration,coalescence,frac_coalescence,resource_shift,r_type,r_percent,sigma,alpha,binary_threshold,g0,cost_mean,cost_sd,sampling,sn,sf,s_gen,rn,rf,R0_food,muc,sigc,q,c0,c1,l,fs,fw,sparsity,S,food,regulation,nreg,response,sigma_max,n,m,w,g,scale
f1_additive,simple_screening,1,f1_additive-iteration_1-1-selected_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_1_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_1-1-selected_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_1_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_1-1-synthetic_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_1_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_1-1-synthetic_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_1_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_1-1-synthetic_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_1_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_1-1-synthetic_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_1_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_2-1-selected_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_2_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_2-1-selected_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_2_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_2-1-selected_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_2_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_2-1-selected_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_2_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_2-1-synthetic_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_2_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_2-1-synthetic_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_2_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_2-1-synthetic_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_2_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_2-1-synthetic_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_2_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_3-1-selected_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_3_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_3-1-selected_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_3_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_3-1-selected_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_3_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_3-1-selected_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_3_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_3-1-synthetic_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_3_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_3-1-synthetic_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_3_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_3-1-synthetic_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_3_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_3-1-synthetic_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_3_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_4-1-selected_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_4_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_4-1-selected_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_4_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_4-1-selected_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_4_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_4-1-selected_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_4_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_4-1-synthetic_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_4_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_4-1-synthetic_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_4_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_4-1-synthetic_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_4_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_4-1-synthetic_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_4_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_5-1-selected_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_5_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_5-1-selected_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_5_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_5-1-selected_community-resource_shift,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_5_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,False,NA,NA,False,NA,True,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_5-1-selected_community-knock_out,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_5_round23-1-selected_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,True,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_5-1-synthetic_community-migration,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_5_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,False,NA,True,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
f1_additive,simple_screening,1,f1_additive-iteration_5-1-synthetic_community-bottleneck,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/f1_additive-iteration_5_round23-1-synthetic_community.txt,True,/home/cc2553/project/community_selection_project/data/raw/additive_robustness/,True,True,False,1,1,96,1,40,20,0.001,1000000,1000000,True,False,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,1,1,1,1,0,0,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,type III,NA,NA,0,NA,NA,1000000
