selected_function,protocol,seed,exp_id,overwrite_plate,passage_overwrite_plate,output_dir,save_function,save_composition,save_plate,function_lograte,composition_lograte,scale,n_inoc,rich_medium,monoculture,dilution,n_wells,n_propagation,n_transfer,n_transfer_selection,metacommunity_sampling,power_alpha,lognormal_mean,lognormal_sd,phi_distribution,phi_mean,phi_sd,phi_lower,phi_upper,ruggedness,function_ratio,binary_threshold,g0,cost_distribution,cost_mean,cost_sd,cost_lower,cost_upper,invader_index,invader_sampling,invader_strength,target_resource,directed_selection,knock_out,knock_in,knock_in_threshold,bottleneck,bottleneck_size,migration,n_migration,s_migration,coalescence,frac_coalescence,resource_shift,r_type,r_percent,sampling,sn,sf,Sgen,rn,rf,R0_food,food,supply,muc,sigc,c0,c1,q,sparsity,fs,fw,g,w,l,m,n,response,sigma_max,regulation,nreg,tau,r,S
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round10-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round9-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round11-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round10-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round12-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round11-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round13-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round12-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round14-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round13-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round15-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round14-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round16-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round15-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round17-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round16-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round18-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round17-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round19-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round18-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round20-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round19-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_1_round21-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round20-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,simple_screening,1,f2_interaction-iteration_1_round22-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round21-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,simple_screening,1,f2_interaction-iteration_1_round23-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_1_round22-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,simple_screening,1,f2_interaction-iteration_5_round1-1,NA,False,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round2-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round1-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round3-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round2-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round4-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round3-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round5-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round4-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round6-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round5-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round7-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round6-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round8-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round7-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round9-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round8-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round10-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round9-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round11-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round10-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round12-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round11-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round13-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round12-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round14-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round13-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
f2_interaction,directed_selection,1,f2_interaction-iteration_5_round15-1,/home/cc2553/project/community-selection/data/iteration_f2_interaction/f2_interaction-iteration_5_round14-1_composition.txt,True,/home/cc2553/project/community-selection/data/iteration_f2_interaction/,True,TRUE,False,1,10,1000000,1e+06,TRUE,False,0.001,96,1,20,10,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,2,Gamma,10,NA,True,False,False,NA,True,0.0001,True,100,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,NA
